               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                   1                    0         0.0000000000000000E+00         3.2000000000000000E+02        -6.5422080000001256E+02                   0                  576                    0                    0
                   2                  782         5.0000000000000000E-01         3.2000000000000000E+02        -6.6489860000001113E+02                   7                  576                   -7                    0
                   3                 1736         1.0000000000000000E+00         3.2000000000000000E+02        -6.6783390000001032E+02                   9                  576                   -9                    0
                   4                 2776         1.5000000000000000E+00         3.2000000000000000E+02        -6.7334710000000950E+02                  13                  576                  -13                    0
                   5                 3924         2.0000000000000000E+00         3.2000000000000000E+02        -6.7523240000000987E+02                  14                  576                  -14                    0
                   6                 5174         2.5000000000000000E+00         3.2000000000000000E+02        -6.7979710000001000E+02                  17                  576                  -17                    0
                   7                 6474         3.0000000000000000E+00         3.2000000000000000E+02        -6.8304930000000923E+02                  19                  576                  -19                    0
                   8                 7853         3.5000000000000000E+00         3.2000000000000000E+02        -6.9204080000000704E+02                  25                  576                  -25                    0
                   9                 9466         4.0000000000000000E+00         3.2000000000000000E+02        -6.9972170000000619E+02                  30                  576                  -30                    0
                  10                11078         4.5000000000000000E+00         3.2000000000000000E+02        -7.0303450000000657E+02                  32                  576                  -32                    0
                  11                12721         5.0000000000000000E+00         3.2000000000000000E+02        -7.0822990000000868E+02                  35                  576                  -35                    0
                  12                14256         5.5000000000000000E+00         3.2000000000000000E+02        -7.1291990000000783E+02                  38                  576                  -38                    0
                  13                15945         6.0000000000000000E+00         3.2000000000000000E+02        -7.1631140000000846E+02                  40                  576                  -40                    0
                  14                17503         6.5000000000000000E+00         3.2000000000000000E+02        -7.2283610000000840E+02                  44                  576                  -44                    0
                  15                19129         7.0000000000000000E+00         3.2000000000000000E+02        -7.2928900000000885E+02                  48                  576                  -48                    0
                  16                20843         7.5000000000000000E+00         3.2000000000000000E+02        -7.3738110000001052E+02                  53                  576                  -53                    0
                  17                22448         8.0000000000000000E+00         3.2000000000000000E+02        -7.4195420000000809E+02                  56                  576                  -56                    0
                  18                24165         8.5000000000000000E+00         3.2000000000000000E+02        -7.4674340000000655E+02                  59                  576                  -59                    0
                  19                25944         9.0000000000000000E+00         3.2000000000000000E+02        -7.5555620000000931E+02                  64                  576                  -64                    0
                  20                27417         9.5000000000000000E+00         3.2000000000000000E+02        -7.6096290000000999E+02                  67                  576                  -67                    0
                  21                28808         1.0000000000000000E+01         3.2000000000000000E+02        -7.7220560000001160E+02                  74                  576                  -74                    0
                  22                30374         1.0500000000000000E+01         3.2000000000000000E+02        -7.7912040000001218E+02                  78                  576                  -78                    0
                  23                31679         1.1000000000000000E+01         3.2000000000000000E+02        -7.8942880000001310E+02                  83                  576                  -83                    0
                  24                32985         1.1500000000000000E+01         3.2000000000000000E+02        -7.9404590000001326E+02                  86                  576                  -86                    0
                  25                34310         1.2000000000000000E+01         3.2000000000000000E+02        -8.0288120000001095E+02                  92                  576                  -92                    0
                  26                35874         1.2500000000000000E+01         3.2000000000000000E+02        -8.1215310000001500E+02                  97                  576                  -97                    0
                  27                37189         1.3000000000000000E+01         3.2000000000000000E+02        -8.1958080000001519E+02                 101                  576                 -101                    0
                  28                38469         1.3500000000000000E+01         3.2000000000000000E+02        -8.2885780000001546E+02                 107                  576                 -107                    0
                  29                39789         1.4000000000000000E+01         3.2000000000000000E+02        -8.3487860000001422E+02                 110                  576                 -110                    0
                  30                41139         1.4500000000000000E+01         3.2000000000000000E+02        -8.4862390000001687E+02                 119                  576                 -119                    0
                  31                42465         1.5000000000000000E+01         3.2000000000000000E+02        -8.5591700000001435E+02                 122                  576                 -122                    0
                  32                43610         1.5500000000000000E+01         3.2000000000000000E+02        -8.6224750000001757E+02                 125                  576                 -125                    0
                  33                44721         1.6000000000000000E+01         3.2000000000000000E+02        -8.6667030000001921E+02                 128                  576                 -128                    0
                  34                45811         1.6500000000000000E+01         3.2000000000000000E+02        -8.7663810000001479E+02                 134                  576                 -134                    0
                  35                46796         1.7000000000000000E+01         3.2000000000000000E+02        -8.8460990000001902E+02                 138                  576                 -138                    0
                  36                47745         1.7500000000000000E+01         3.2000000000000000E+02        -8.8958720000001495E+02                 140                  576                 -140                    0
                  37                48773         1.8000000000000000E+01         3.2000000000000000E+02        -8.9638940000001548E+02                 144                  576                 -144                    0
                  38                49908         1.8500000000000000E+01         3.2000000000000000E+02        -9.0806710000001624E+02                 152                  576                 -152                    0
                  39                50983         1.9000000000000000E+01         3.2000000000000000E+02        -9.1082420000001696E+02                 153                  576                 -153                    0
                  40                51970         1.9500000000000000E+01         3.2000000000000000E+02        -9.2010050000001922E+02                 158                  576                 -158                    0
                  41                52832         2.0000000000000000E+01         3.2000000000000000E+02        -9.2436140000001762E+02                 160                  576                 -160                    0
                  42                53548         2.0500000000000000E+01         3.2000000000000000E+02        -9.3322830000001932E+02                 165                  576                 -165                    0
                  43                54250         2.1000000000000000E+01         3.2000000000000000E+02        -9.3695780000001935E+02                 168                  575                 -169                    1
                  44                55028         2.1500000000000000E+01         3.2000000000000000E+02        -9.3997450000002095E+02                 169                  575                 -170                    1
                  45                55676         2.2000000000000000E+01         3.2000000000000000E+02        -9.4332750000002102E+02                 171                  575                 -172                    1
                  46                56401         2.2500000000000000E+01         3.2000000000000000E+02        -9.4850170000002231E+02                 175                  574                 -177                    2
                  47                57126         2.3000000000000000E+01         3.2000000000000000E+02        -9.5392330000001766E+02                 178                  574                 -180                    2
                  48                57754         2.3500000000000000E+01         3.2000000000000000E+02        -9.5321000000001948E+02                 178                  573                 -181                    3
                  49                58365         2.4000000000000000E+01         3.2000000000000000E+02        -9.5994480000002329E+02                 183                  573                 -186                    3
                  50                59051         2.4500000000000000E+01         3.2000000000000000E+02        -9.6243150000002163E+02                 184                  573                 -187                    3
                  51                59766         2.5000000000000000E+01         3.2000000000000000E+02        -9.6820620000002077E+02                 188                  573                 -191                    3
                  52                60539         2.5500000000000000E+01         3.2000000000000000E+02        -9.7360590000002264E+02                 191                  573                 -194                    3
                  53                61315         2.6000000000000000E+01         3.2000000000000000E+02        -9.7770550000002083E+02                 194                  573                 -197                    3
                  54                62064         2.6500000000000000E+01         3.2000000000000000E+02        -9.8009750000002145E+02                 196                  573                 -199                    3
                  55                62855         2.7000000000000000E+01         3.2000000000000000E+02        -9.8218630000002349E+02                 198                  572                 -202                    4
                  56                63612         2.7500000000000000E+01         3.2000000000000000E+02        -9.8445540000002006E+02                 199                  572                 -203                    4
                  57                64354         2.8000000000000000E+01         3.2000000000000000E+02        -9.8782820000001914E+02                 201                  572                 -205                    4
                  58                65162         2.8500000000000000E+01         3.2000000000000000E+02        -9.9084935000002042E+02                 203                  572                 -207                    4
                  59                65915         2.9000000000000000E+01         3.2000000000000000E+02        -9.9252580000002263E+02                 204                  572                 -208                    4
                  60                66611         2.9500000000000000E+01         3.2000000000000000E+02        -1.0008822000000192E+03                 210                  572                 -214                    4
                  61                67384         3.0000000000000000E+01         3.2000000000000000E+02        -1.0023472000000191E+03                 211                  571                 -216                    5
                  62                68097         3.0500000000000000E+01         3.2000000000000000E+02        -1.0069524000000191E+03                 214                  571                 -219                    5
                  63                68905         3.1000000000000000E+01         3.2000000000000000E+02        -1.0069213000000187E+03                 214                  571                 -219                    5
                  64                69782         3.1500000000000000E+01         3.2000000000000000E+02        -1.0126820000000204E+03                 218                  571                 -223                    5
                  65                70603         3.2000000000000000E+01         3.2000000000000000E+02        -1.0161854000000196E+03                 220                  571                 -225                    5
                  66                71405         3.2500000000000000E+01         3.2000000000000000E+02        -1.0185558000000168E+03                 222                  570                 -228                    6
                  67                72148         3.3000000000000000E+01         3.2000000000000000E+02        -1.0173635500000192E+03                 222                  569                 -229                    7
                  68                73011         3.3500000000000000E+01         3.2000000000000000E+02        -1.0162680500000171E+03                 222                  568                 -230                    8
