               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                  69                73985         3.4000000000000000E+01         3.2000000000000000E+02        -1.0240453000000177E+03                 227                  568                 -235                    8
                  70                74754         3.4500000000000000E+01         3.2000000000000000E+02        -1.0260891000000190E+03                 228                  568                 -236                    8
                  71                75538         3.5000000000000000E+01         3.2000000000000000E+02        -1.0337723000000190E+03                 233                  568                 -241                    8
                  72                76282         3.5500000000000000E+01         3.2000000000000000E+02        -1.0359689500000193E+03                 234                  568                 -242                    8
                  73                77011         3.6000000000000000E+01         3.2000000000000000E+02        -1.0434458000000200E+03                 239                  568                 -247                    8
                  74                77806         3.6500000000000000E+01         3.2000000000000000E+02        -1.0478426000000204E+03                 242                  568                 -250                    8
                  75                78596         3.7000000000000000E+01         3.2000000000000000E+02        -1.0507363000000196E+03                 244                  568                 -252                    8
                  76                79422         3.7500000000000000E+01         3.2000000000000000E+02        -1.0530146000000182E+03                 246                  568                 -254                    8
                  77                80279         3.8000000000000000E+01         3.2000000000000000E+02        -1.0536105000000171E+03                 247                  567                 -256                    9
                  78                81091         3.8500000000000000E+01         3.2000000000000000E+02        -1.0587770000000210E+03                 250                  566                 -260                   10
                  79                81821         3.9000000000000000E+01         3.2000000000000000E+02        -1.0630145500000194E+03                 253                  566                 -263                   10
                  80                82633         3.9500000000000000E+01         3.2000000000000000E+02        -1.0667930000000176E+03                 256                  565                 -267                   11
                  81                83464         4.0000000000000000E+01         3.2000000000000000E+02        -1.0704162000000201E+03                 259                  565                 -270                   11
                  82                84293         4.0500000000000000E+01         3.2000000000000000E+02        -1.0747258000000184E+03                 262                  565                 -273                   11
                  83                85210         4.1000000000000000E+01         3.2000000000000000E+02        -1.0817638000000215E+03                 267                  565                 -278                   11
                  84                86077         4.1500000000000000E+01         3.2000000000000000E+02        -1.0838051000000189E+03                 268                  564                 -280                   12
                  85                86892         4.2000000000000000E+01         3.2000000000000000E+02        -1.0884168000000184E+03                 271                  564                 -283                   12
                  86                87693         4.2500000000000000E+01         3.2000000000000000E+02        -1.0903336000000184E+03                 272                  564                 -284                   12
                  87                88489         4.3000000000000000E+01         3.2000000000000000E+02        -1.0893417000000179E+03                 273                  562                 -287                   14
                  88                89332         4.3500000000000000E+01         3.2000000000000000E+02        -1.0910705000000187E+03                 274                  562                 -288                   14
                  89                90097         4.4000000000000000E+01         3.2000000000000000E+02        -1.0925501000000199E+03                 275                  562                 -289                   14
                  90                90892         4.4500000000000000E+01         3.2000000000000000E+02        -1.1000358000000183E+03                 281                  562                 -295                   14
                  91                91832         4.5000000000000000E+01         3.2000000000000000E+02        -1.1056517000000229E+03                 286                  561                 -301                   15
                  92                92756         4.5500000000000000E+01         3.2000000000000000E+02        -1.1097844000000234E+03                 289                  561                 -304                   15
                  93                93734         4.6000000000000000E+01         3.2000000000000000E+02        -1.1181068000000221E+03                 295                  561                 -310                   15
                  94                94701         4.6500000000000000E+01         3.2000000000000000E+02        -1.1200836500000214E+03                 297                  560                 -313                   16
                  95                95677         4.7000000000000000E+01         3.2000000000000000E+02        -1.1242716000000182E+03                 301                  559                 -318                   17
                  96                96642         4.7500000000000000E+01         3.2000000000000000E+02        -1.1307155000000187E+03                 306                  558                 -324                   18
                  97                97711         4.8000000000000000E+01         3.2000000000000000E+02        -1.1286900000000169E+03                 306                  555                 -327                   21
                  98                98704         4.8500000000000000E+01         3.2000000000000000E+02        -1.1290649500000175E+03                 307                  554                 -329                   22
                  99                99778         4.9000000000000000E+01         3.2000000000000000E+02        -1.1261951000000170E+03                 306                  552                 -330                   24
                 100               100839         4.9500000000000000E+01         3.2000000000000000E+02        -1.1259669000000108E+03                 306                  551                 -331                   25
                 101               101834         5.0000000000000000E+01         3.2000000000000000E+02        -1.1284074000000123E+03                 307                  551                 -332                   25
                 102               102827         5.0500000000000000E+01         3.2000000000000000E+02        -1.1338413000000153E+03                 311                  551                 -336                   25
                 103               103749         5.1000000000000000E+01         3.2000000000000000E+02        -1.1356311500000161E+03                 312                  550                 -338                   26
                 104               104709         5.1500000000000000E+01         3.2000000000000000E+02        -1.1363764000000135E+03                 313                  549                 -340                   27
                 105               105684         5.2000000000000000E+01         3.2000000000000000E+02        -1.1377184000000118E+03                 314                  549                 -341                   27
                 106               106705         5.2500000000000000E+01         3.2000000000000000E+02        -1.1399481500000118E+03                 316                  548                 -344                   28
                 107               107697         5.3000000000000000E+01         3.2000000000000000E+02        -1.1413032500000104E+03                 317                  547                 -346                   29
                 108               108646         5.3500000000000000E+01         3.2000000000000000E+02        -1.1474119500000138E+03                 321                  547                 -350                   29
                 109               109624         5.4000000000000000E+01         3.2000000000000000E+02        -1.1499721000000154E+03                 323                  547                 -352                   29
                 110               110588         5.4500000000000000E+01         3.2000000000000000E+02        -1.1576827000000151E+03                 329                  547                 -358                   29
                 111               111542         5.5000000000000000E+01         3.2000000000000000E+02        -1.1616420000000157E+03                 332                  547                 -361                   29
                 112               112566         5.5500000000000000E+01         3.2000000000000000E+02        -1.1587088000000131E+03                 332                  544                 -364                   32
                 113               113611         5.6000000000000000E+01         3.2000000000000000E+02        -1.1599291500000136E+03                 333                  543                 -366                   33
                 114               114612         5.6500000000000000E+01         3.2000000000000000E+02        -1.1664316500000132E+03                 338                  542                 -372                   34
                 115               115577         5.7000000000000000E+01         3.2000000000000000E+02        -1.1645296000000144E+03                 337                  541                 -372                   35
                 116               116479         5.7500000000000000E+01         3.2000000000000000E+02        -1.1630981500000132E+03                 337                  538                 -375                   38
                 117               117416         5.8000000000000000E+01         3.2000000000000000E+02        -1.1641861500000125E+03                 338                  538                 -376                   38
                 118               118289         5.8500000000000000E+01         3.2000000000000000E+02        -1.1674040000000120E+03                 340                  537                 -379                   39
                 119               119180         5.9000000000000000E+01         3.2000000000000000E+02        -1.1679529500000124E+03                 341                  536                 -381                   40
                 120               120138         5.9500000000000000E+01         3.2000000000000000E+02        -1.1683947000000103E+03                 342                  534                 -384                   42
                 121               121193         6.0000000000000000E+01         3.2000000000000000E+02        -1.1686450000000109E+03                 344                  532                 -388                   44
                 122               122096         6.0500000000000000E+01         3.2000000000000000E+02        -1.1741836500000097E+03                 348                  532                 -392                   44
                 123               123086         6.1000000000000000E+01         3.2000000000000000E+02        -1.1770947000000106E+03                 350                  532                 -394                   44
                 124               123999         6.1500000000000000E+01         3.2000000000000000E+02        -1.1762775000000120E+03                 350                  530                 -396                   46
                 125               124909         6.2000000000000000E+01         3.2000000000000000E+02        -1.1763655500000043E+03                 351                  529                 -398                   47
                 126               125956         6.2500000000000000E+01         3.2000000000000000E+02        -1.1778380500000076E+03                 352                  528                 -400                   48
                 127               126935         6.3000000000000000E+01         3.2000000000000000E+02        -1.1790313500000100E+03                 353                  528                 -401                   48
                 128               127950         6.3500000000000000E+01         3.2000000000000000E+02        -1.1812153500000090E+03                 355                  528                 -403                   48
                 129               129001         6.4000000000000000E+01         3.2000000000000000E+02        -1.1831722000000052E+03                 357                  527                 -406                   49
                 130               130048         6.4500000000000000E+01         3.2000000000000000E+02        -1.1882683000000063E+03                 361                  527                 -410                   49
                 131               131091         6.5000000000000000E+01         3.2000000000000000E+02        -1.1911999000000080E+03                 364                  525                 -415                   51
                 132               132152         6.5500000000000000E+01         3.2000000000000000E+02        -1.1950030000000061E+03                 367                  525                 -418                   51
                 133               133264         6.6000000000000000E+01         3.2000000000000000E+02        -1.1964205000000070E+03                 369                  523                 -422                   53
                 134               134395         6.6500000000000000E+01         3.2000000000000000E+02        -1.1976652000000042E+03                 370                  522                 -424                   54
                 135               135497         6.7000000000000000E+01         3.2000000000000000E+02        -1.1996477500000055E+03                 372                  521                 -427                   55
                 136               136582         6.7500000000000000E+01         3.2000000000000000E+02        -1.2036362500000064E+03                 375                  521                 -430                   55
                 137               137790         6.8000000000000000E+01         3.2000000000000000E+02        -1.2019563500000065E+03                 375                  519                 -432                   57
                 138               138893         6.8500000000000000E+01         3.2000000000000000E+02        -1.2058035000000011E+03                 378                  519                 -435                   57
                 139               139978         6.9000000000000000E+01         3.2000000000000000E+02        -1.2063574500000009E+03                 378                  519                 -435                   57
                 140               141110         6.9500000000000000E+01         3.2000000000000000E+02        -1.2079912500000030E+03                 380                  519                 -437                   57
                 141               142216         7.0000000000000000E+01         3.2000000000000000E+02        -1.2090102500000053E+03                 381                  517                 -440                   59
                 142               143335         7.0500000000000000E+01         3.2000000000000000E+02        -1.2158207000000054E+03                 387                  516                 -447                   60
                 143               144524         7.1000000000000000E+01         3.2000000000000000E+02        -1.2165774500000011E+03                 389                  514                 -451                   62
                 144               145633         7.1500000000000000E+01         3.2000000000000000E+02        -1.2170289999999984E+03                 390                  511                 -455                   65
                 145               146786         7.2000000000000000E+01         3.2000000000000000E+02        -1.2163073499999985E+03                 390                  509                 -457                   67
                 146               147890         7.2500000000000000E+01         3.2000000000000000E+02        -1.2202597499999983E+03                 393                  508                 -461                   68
                 147               149039         7.3000000000000000E+01         3.2000000000000000E+02        -1.2205784999999987E+03                 395                  506                 -465                   70
                 148               150173         7.3500000000000000E+01         3.2000000000000000E+02        -1.2264864500000003E+03                 399                  506                 -469                   70
                 149               151335         7.4000000000000000E+01         3.2000000000000000E+02        -1.2229170500000009E+03                 398                  503                 -471                   73
                 150               152508         7.4500000000000000E+01         3.2000000000000000E+02        -1.2231136000000001E+03                 399                  502                 -473                   74
                 151               153704         7.5000000000000000E+01         3.2000000000000000E+02        -1.2245440499999968E+03                 400                  502                 -474                   74
                 152               154823         7.5500000000000000E+01         3.2000000000000000E+02        -1.2287266499999978E+03                 403                  502                 -477                   74
                 153               156082         7.6000000000000000E+01         3.2000000000000000E+02        -1.2334653499999981E+03                 406                  502                 -480                   74
                 154               157244         7.6500000000000000E+01         3.2000000000000000E+02        -1.2316312499999963E+03                 406                  498                 -484                   78
                 155               158391         7.7000000000000000E+01         3.2000000000000000E+02        -1.2329027999999973E+03                 408                  496                 -488                   80
                 156               159592         7.7500000000000000E+01         3.2000000000000000E+02        -1.2331789499999961E+03                 409                  495                 -490                   81
                 157               160726         7.8000000000000000E+01         3.2000000000000000E+02        -1.2334269499999937E+03                 409                  494                 -491                   82
                 158               161909         7.8500000000000000E+01         3.2000000000000000E+02        -1.2349209999999935E+03                 410                  494                 -492                   82
                 159               162997         7.9000000000000000E+01         3.2000000000000000E+02        -1.2351919499999929E+03                 411                  492                 -495                   84
                 160               164275         7.9500000000000000E+01         3.2000000000000000E+02        -1.2405121499999909E+03                 416                  491                 -501                   85
                 161               165475         8.0000000000000000E+01         3.2000000000000000E+02        -1.2433550999999902E+03                 418                  491                 -503                   85
                 162               166649         8.0500000000000000E+01         3.2000000000000000E+02        -1.2445968999999932E+03                 420                  490                 -506                   86
                 163               167846         8.1000000000000000E+01         3.2000000000000000E+02        -1.2398219999999908E+03                 418                  487                 -507                   89
                 164               169042         8.1500000000000000E+01         3.2000000000000000E+02        -1.2409480999999889E+03                 419                  485                 -510                   91
                 165               170215         8.2000000000000000E+01         3.2000000000000000E+02        -1.2392153499999918E+03                 418                  483                 -511                   93
                 166               171379         8.2500000000000000E+01         3.2000000000000000E+02        -1.2437257999999863E+03                 421                  483                 -514                   93
                 167               172591         8.3000000000000000E+01         3.2000000000000000E+02        -1.2417951999999877E+03                 421                  480                 -517                   96
                 168               173700         8.3500000000000000E+01         3.2000000000000000E+02        -1.2446668999999915E+03                 424                  480                 -520                   96
                 169               174866         8.4000000000000000E+01         3.2000000000000000E+02        -1.2450438999999890E+03                 424                  480                 -520                   96
                 170               176014         8.4500000000000000E+01         3.2000000000000000E+02        -1.2474254999999901E+03                 426                  479                 -523                   97
                 171               177149         8.5000000000000000E+01         3.2000000000000000E+02        -1.2495714999999907E+03                 428                  479                 -525                   97
                 172               178347         8.5500000000000000E+01         3.2000000000000000E+02        -1.2503778499999935E+03                 429                  478                 -527                   98
                 173               179481         8.6000000000000000E+01         3.2000000000000000E+02        -1.2546845999999889E+03                 432                  477                 -531                   99
                 174               180714         8.6500000000000000E+01         3.2000000000000000E+02        -1.2562255999999902E+03                 433                  477                 -532                   99
                 175               181959         8.7000000000000000E+01         3.2000000000000000E+02        -1.2598050499999881E+03                 436                  477                 -535                   99
                 176               183178         8.7500000000000000E+01         3.2000000000000000E+02        -1.2591146499999879E+03                 436                  475                 -537                  101
                 177               184412         8.8000000000000000E+01         3.2000000000000000E+02        -1.2606523499999898E+03                 438                  475                 -539                  101
                 178               185579         8.8500000000000000E+01         3.2000000000000000E+02        -1.2585767999999875E+03                 437                  472                 -541                  104
                 179               186741         8.9000000000000000E+01         3.2000000000000000E+02        -1.2561175499999817E+03                 436                  470                 -542                  106
                 180               187910         8.9500000000000000E+01         3.2000000000000000E+02        -1.2564526999999875E+03                 436                  470                 -542                  106
                 181               189023         9.0000000000000000E+01         3.2000000000000000E+02        -1.2529793499999814E+03                 434                  468                 -542                  108
                 182               190146         9.0500000000000000E+01         3.2000000000000000E+02        -1.2549421499999823E+03                 436                  467                 -545                  109
                 183               191290         9.1000000000000000E+01         3.2000000000000000E+02        -1.2547288999999814E+03                 436                  466                 -546                  110
                 184               192460         9.1500000000000000E+01         3.2000000000000000E+02        -1.2531004999999836E+03                 435                  465                 -546                  111
                 185               193616         9.2000000000000000E+01         3.2000000000000000E+02        -1.2509010999999816E+03                 435                  462                 -549                  114
                 186               194719         9.2500000000000000E+01         3.2000000000000000E+02        -1.2553667999999800E+03                 438                  462                 -552                  114
                 187               195798         9.3000000000000000E+01         3.2000000000000000E+02        -1.2528650999999834E+03                 437                  460                 -553                  116
                 188               196965         9.3500000000000000E+01         3.2000000000000000E+02        -1.2531038999999816E+03                 437                  459                 -554                  117
                 189               198051         9.4000000000000000E+01         3.2000000000000000E+02        -1.2571949999999795E+03                 440                  459                 -557                  117
                 190               199142         9.4500000000000000E+01         3.2000000000000000E+02        -1.2588148499999847E+03                 442                  459                 -559                  117
                 191               200250         9.5000000000000000E+01         3.2000000000000000E+02        -1.2620176499999818E+03                 445                  459                 -562                  117
                 192               201342         9.5500000000000000E+01         3.2000000000000000E+02        -1.2621721499999821E+03                 446                  457                 -565                  119
                 193               202518         9.6000000000000000E+01         3.2000000000000000E+02        -1.2623672999999785E+03                 447                  455                 -568                  121
                 194               203657         9.6500000000000000E+01         3.2000000000000000E+02        -1.2654063999999762E+03                 450                  454                 -572                  122
                 195               204824         9.7000000000000000E+01         3.2000000000000000E+02        -1.2693808999999771E+03                 453                  453                 -576                  123
                 196               205960         9.7500000000000000E+01         3.2000000000000000E+02        -1.2739701999999716E+03                 457                  452                 -581                  124
                 197               207230         9.8000000000000000E+01         3.2000000000000000E+02        -1.2767926499999721E+03                 459                  452                 -583                  124
                 198               208373         9.8500000000000000E+01         3.2000000000000000E+02        -1.2786668499999757E+03                 460                  452                 -584                  124
                 199               209587         9.9000000000000000E+01         3.2000000000000000E+02        -1.2721707499999684E+03                 457                  449                 -584                  127
                 200               210744         9.9500000000000000E+01         3.2000000000000000E+02        -1.2720793499999718E+03                 457                  448                 -585                  128
                 201               211959         1.0000000000000000E+02         3.2000000000000000E+02        -1.2774565999999734E+03                 461                  448                 -589                  128
                 202               213172         1.0050000000000000E+02         3.2000000000000000E+02        -1.2811713999999772E+03                 464                  448                 -592                  128
                 203               214280         1.0100000000000000E+02         3.2000000000000000E+02        -1.2821091499999770E+03                 465                  447                 -594                  129
                 204               215393         1.0150000000000000E+02         3.2000000000000000E+02        -1.2847098499999761E+03                 467                  447                 -596                  129
                 205               216529         1.0200000000000000E+02         3.2000000000000000E+02        -1.2847769499999738E+03                 469                  444                 -601                  132
                 206               217718         1.0250000000000000E+02         3.2000000000000000E+02        -1.2835869499999728E+03                 468                  443                 -601                  133
