               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                  22                21556         1.2600000000000000E+03         1.9000000000000000E+02        -1.9614746499999185E+03                1076                  433                -1219                  143
                  23                22518         1.3200000000000000E+03         1.9000000000000000E+02        -1.9659290999999155E+03                1082                  430                -1228                  146
                  24                23394         1.3800000000000000E+03         1.9000000000000000E+02        -1.9687437999999142E+03                1085                  427                -1234                  149
                  25                24350         1.4400000000000000E+03         1.9000000000000000E+02        -1.9698943499999143E+03                1086                  427                -1235                  149
                  26                25277         1.5000000000000000E+03         1.9000000000000000E+02        -1.9760827999999094E+03                1094                  425                -1245                  151
                  27                26221         1.5600000000000000E+03         1.9000000000000000E+02        -1.9786296499999094E+03                1098                  421                -1253                  155
                  28                27163         1.6200000000000000E+03         1.9000000000000000E+02        -1.9810448999999048E+03                1101                  418                -1259                  158
                  29                28066         1.6800000000000000E+03         1.9000000000000000E+02        -1.9840831499999015E+03                1105                  415                -1266                  161
                  30                28959         1.7400000000000000E+03         1.9000000000000000E+02        -1.9857089499998992E+03                1107                  413                -1270                  163
                  31                29852         1.8000000000000000E+03         1.9000000000000000E+02        -1.9882499499999035E+03                1109                  412                -1273                  164
                  32                30754         1.8600000000000000E+03         1.9000000000000000E+02        -1.9895408999999004E+03                1111                  411                -1276                  165
                  33                31679         1.9200000000000000E+03         1.9000000000000000E+02        -1.9878717999999008E+03                1110                  406                -1280                  170
                  34                32594         1.9800000000000000E+03         1.9000000000000000E+02        -1.9911505499998998E+03                1114                  404                -1286                  172
